,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long
7881,University of Puerto Rico-Ponce,University of Puerto Rico in Ponce,2151 Santiago de los Caballeros Avenue,PONCE,PR,007169996,1,"Public, 4-year or above",1557.0,2073.0,3630.0,0,0,1,0,"2151 Santiago de los Caballeros Avenue, PONCE, PR, 007169996","[17.9927746, -66.6071892]",17.9927746,-66.6071892
7909,College of Micronesia-FSM,National Campus,"P.O. Box 159, Kolonia",Pohnpei,FM,969410159,4,"Public, 2-year",872.0,1218.0,2090.0,0,0,0,4,"P.O. Box 159, Kolonia, Pohnpei, FM, 969410159","[6.9597387, 158.2107731]",6.9597387,158.2107731
7918,Stanford University,Main Campus,Building 10,STANFORD,CA,943052061,2,"Private nonprofit, 4-year or above",9950.0,7234.0,17184.0,33,12,0,3,"Building 10, STANFORD, CA, 943052061","[33.655218, -117.8404696]",33.655218,-117.8404696
7930,Purdue University-Main Campus,Main Campus,1801 NEWMAN ROAD,WEST LAFAYETTE,IN,479071076,1,"Public, 4-year or above",24092.0,17421.0,41513.0,18,12,2,4,"1801 NEWMAN ROAD, WEST LAFAYETTE, IN, 479071076","[40.4236515, -86.9402281]",40.4236515,-86.9402281
7933,Purdue University-Main Campus,New Albany Campus,3000 Technology Ave.,New Albany,IN,47150,1,"Public, 4-year or above",24092.0,17421.0,41513.0,1,0,0,0,"3000 Technology Ave., New Albany, IN, 47150","[38.3387207, -85.79875589999999]",38.3387207,-85.7987559
7934,Purdue University-Main Campus,South Bend Campus,1733 Northside Boulevard,South Bend,IN,466347111,1,"Public, 4-year or above",24092.0,17421.0,41513.0,2,0,0,1,"1733 Northside Boulevard, South Bend, IN, 466347111","[41.6615165, -86.22184469999999]",41.6615165,-86.2218447
7935,Purdue University-Main Campus,Vincennes Campus,1002 North First St.,Vincennes,IN,47591,1,"Public, 4-year or above",24092.0,17421.0,41513.0,0,1,0,4,"1002 North First St., Vincennes, IN, 47591","[38.6878205, -87.5215703]",38.6878205,-87.5215703
7941,Parker University,PARKER UNIVERSITY,2500 WALNUT HILL LN,DALLAS,TX,752295668,2,"Private nonprofit, 4-year or above",553.0,575.0,1128.0,0,0,0,1,"2500 WALNUT HILL LN, DALLAS, TX, 752295668","[32.8806545, -96.89348509999999]",32.8806545,-96.8934851
7943,ICPR Junior College-General Institutional,Hato Rey Main Campus,558 MUNOZ RIVERA AVE,HATO REY,PR,009190304,6,"Private for-profit, 2-year",194.0,534.0,728.0,0,0,1,0,"558 MUNOZ RIVERA AVE, HATO REY, PR, 009190304","[18.4144791, -66.0571325]",18.4144791,-66.0571325
7960,St. John's College,St. John's College Santa Fe,1160 CAMINO de CRUZ BLANCA,SANTA FE,NM,875054599,2,"Private nonprofit, 4-year or above",233.0,167.0,400.0,1,0,0,0,"1160 CAMINO de CRUZ BLANCA, SANTA FE, NM, 875054599","[35.6716804, -105.9167567]",35.6716804,-105.9167567
7982,Palo Alto College,Main Campus,1400 VILLARET,SAN ANTONIO,TX,782242499,4,"Public, 2-year",3661.0,5447.0,9108.0,0,0,1,0,"1400 VILLARET, SAN ANTONIO, TX, 782242499","[29.322851, -98.5466543]",29.322851,-98.5466543
7987,Athens Technical College,Athens Technical College - Athens,800 US Highway 29 N,ATHENS,GA,306011500,4,"Public, 2-year",1547.0,2663.0,4210.0,0,1,0,0,"800 US Highway 29 N, ATHENS, GA, 306011500","[33.992033, -83.3374206]",33.992033,-83.3374206
8008,Landmark College,Main Campus,19 RIVER RD SOUTH,PUTNEY,VT,05346,2,"Private nonprofit, 4-year or above",322.0,146.0,468.0,3,2,0,0,"19 RIVER RD SOUTH, PUTNEY, VT, 05346","[42.9765121, -72.5123972]",42.9765121,-72.5123972
8059,Dorsey Business Schools-Roseville,Dorsey School of Business - Roseville,31542 GRATIOT Avenue,ROSEVILLE,MI,48066,9,"Private for-profit, less-than 2-year",33.0,356.0,389.0,0,0,0,1,"31542 GRATIOT Avenue, ROSEVILLE, MI, 48066","[42.5276986, -82.91548800000001]",42.5276986,-82.915488
8068,Clinton Technical School,Main Campus,602 S. Fifth St.,CLINTON,MO,64735,7,"Public, less-than 2-year",1.0,15.0,16.0,0,1,0,0,"602 S. Fifth St., CLINTON, MO, 64735","[38.36417489999999, -93.7692537]",38.3641749,-93.7692537
8075,Kaplan University-Davenport Campus,Main Campus,1801 E Kimberly Rd Ste 1,Davenport,IA,52807,3,"Private for-profit, 4-year or above",10287.0,27207.0,37494.0,0,0,1,0,"1801 E Kimberly Rd Ste 1, Davenport, IA, 52807","[41.555013, -90.5505281]",41.555013,-90.5505281
8081,Educators of Beauty College of Cosmetology-Rockford,Rockford,2601B N. MULFORD,ROCKFORD,IL,61114,9,"Private for-profit, less-than 2-year",1.0,79.0,80.0,0,0,1,0,"2601B N. MULFORD, ROCKFORD, IL, 61114","[42.2988469, -88.9977389]",42.2988469,-88.9977389
