,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE15,FONDL15,ROBBE15,AGG_A15,geo_address,lat_lng,lat,long
483,University of California-Davis,Main Campus,One Shields Avenue,DAVIS,CA,956168678,1,"Public, 4-year or above",14893.0,20293.0,35186.0,25,16,4,3,"One Shields Avenue DAVIS, CA","[38.5398745, -121.7548688]",38.5398745,-121.7548688
484,University of California-Davis,UC Davis Medical Center,2315 Stockton Blvd.,Sacramento,CA,95817,1,"Public, 4-year or above",14893.0,20293.0,35186.0,1,2,0,19,"2315 Stockton Blvd. Sacramento, CA","[38.55490229999999, -121.4567505]",38.5549023,-121.4567505
485,University of California-Irvine,UCI Main Campus,"University of California, Irvine",IRVINE,CA,92697,1,"Public, 4-year or above",14806.0,16030.0,30836.0,18,7,4,10,"University of California, Irvine IRVINE, CA","[33.6404952, -117.8442962]",33.6404952,-117.8442962
486,University of California-Irvine,UCI Medical Center,101 The City Drive,Orange,CA,92868,1,"Public, 4-year or above",14806.0,16030.0,30836.0,1,2,0,2,"101 The City Drive Orange, CA","[33.7864819, -117.8897885]",33.7864819,-117.8897885
487,University of California-Los Angeles,UCLA,405 HILGARD AVE,LOS ANGELES,CA,900951364,1,"Public, 4-year or above",19683.0,22225.0,41908.0,8,10,5,8,"405 HILGARD AVE LOS ANGELES, CA","[34.0725988, -118.439277]",34.0725988,-118.439277
488,University of California-Riverside,Main Campus,900 UNIVERSITY AVE,RIVERSIDE,CA,92521,1,"Public, 4-year or above",10483.0,10902.0,21385.0,8,2,4,1,"900 UNIVERSITY AVE RIVERSIDE, CA","[33.9754243, -117.3315961]",33.9754243,-117.3315961
490,University of California-San Francisco,Main Campus - Parnassus,513 Parnassus Ave,San Francisco,CA,941430402,1,"Public, 4-year or above",1150.0,1957.0,3107.0,1,1,0,9,"513 Parnassus Ave San Francisco, CA","[37.7630467, -122.4584652]",37.7630467,-122.4584652
491,University of California-San Francisco,Mission Bay,550 16th Street,San Francisco,CA,941430402,1,"Public, 4-year or above",1150.0,1957.0,3107.0,0,0,2,1,"550 16th Street San Francisco, CA","[37.7674169, -122.3903222]",37.7674169,-122.3903222
493,University of California-San Francisco,UCSF Benioff Children's Hospital - Oakland,747 52nd Street,Oakland,CA,94609,1,"Public, 4-year or above",1150.0,1957.0,3107.0,0,0,1,0,"747 52nd Street Oakland, CA","[37.8368995, -122.2671455]",37.8368995,-122.2671455
494,University of California-Santa Barbara,Main Campus,1209 Public Safety Building,SANTA BARBARA,CA,931061010,1,"Public, 4-year or above",11326.0,12171.0,23497.0,14,2,2,7,"1209 Public Safety Building SANTA BARBARA, CA","[34.4216258, -119.6939172]",34.4216258,-119.6939172
495,University of California-Santa Cruz,Main Campus,1156 HIGH ST,SANTA CRUZ,CA,95064,1,"Public, 4-year or above",8644.0,9224.0,17868.0,10,26,2,7,"1156 HIGH ST SANTA CRUZ, CA","[37.000369, -122.0632371]",37.000369,-122.0632371
500,California Hair Design Academy,"California Hair Design Academy, Inc.","8011 UNIVERSITY AVENUE, SUITE A-2",LA MESA,CA,919415055,9,"Private for-profit, less-than 2-year",65.0,145.0,210.0,0,0,0,1,"8011 UNIVERSITY AVENUE, SUITE A-2 LA MESA, CA","[32.7653695, -117.0239542]",32.7653695,-117.0239542
501,California Hair Design Academy,California Hair Design Academy - Branch Campus,970 Broadway,Chula Vista,CA,91911,9,"Private for-profit, less-than 2-year",65.0,145.0,210.0,0,0,0,1,"970 Broadway Chula Vista, CA","[32.6147191, -117.0837041]",32.6147191,-117.0837041
502,California Institute of the Arts,Main Campus,24700 W MCBEAN PKY,VALENCIA,CA,913552397,2,"Private nonprofit, 4-year or above",608.0,840.0,1448.0,0,5,1,6,"24700 W MCBEAN PKY VALENCIA, CA","[34.3929413, -118.5678283]",34.3929413,-118.5678283
503,The California Maritime Academy,California State University Maritime Academy,200 Maritime Academy Drive,Vallejo,CA,945908181,1,"Public, 4-year or above",917.0,158.0,1075.0,0,1,1,0,"200 Maritime Academy Drive Vallejo, CA","[38.0692105, -122.2325063]",38.0692105,-122.2325063
506,College of the Canyons,College of the Canyons,26455 ROCKWELL CANYON RD,Valencia,CA,913551899,4,"Public, 2-year",9474.0,8963.0,18437.0,1,1,0,0,"26455 ROCKWELL CANYON RD Valencia, CA","[34.4043825, -118.5705879]",34.4043825,-118.5705879
516,Cerritos College,Main Campus,11110 ALONDRA BLVD,NORWALK,CA,906506298,4,"Public, 2-year",10020.0,12023.0,22043.0,1,0,1,0,"11110 ALONDRA BLVD NORWALK, CA","[33.8850171, -118.0973168]",33.8850171,-118.0973168
522,Chabot College,Chabot College Campus,25555 HESPERIAN BLVD,HAYWARD,CA,945454918,4,"Public, 2-year",6217.0,7240.0,13457.0,1,0,0,0,"25555 HESPERIAN BLVD HAYWARD, CA","[37.6398046, -122.1069105]",37.6398046,-122.1069105
524,Chaffey College,Rancho Campus,5885 HAVEN AVE,RANCHO CUCAMONGA,CA,917373002,4,"Public, 2-year",8875.0,12179.0,21054.0,0,0,0,4,"5885 HAVEN AVE RANCHO CUCAMONGA, CA","[34.1466357, -117.5748314]",34.1466357,-117.5748314
525,Chapman University,Orange Campus,One University Dr.,ORANGE,CA,928661011,2,"Private nonprofit, 4-year or above",3338.0,4967.0,8305.0,6,0,0,1,"One University Dr. ORANGE, CA","[33.7928203, -117.8537167]",33.7928203,-117.8537167
527,Charles R Drew University of Medicine and Science,Main Campus,1731 E 120TH ST,LOS ANGELES,CA,90059,2,"Private nonprofit, 4-year or above",157.0,376.0,533.0,0,0,1,0,"1731 E 120TH ST LOS ANGELES, CA","[33.9256333, -118.242526]",33.9256333,-118.242526
534,Citrus College,Main Campus,1000 W Foothill Blvd.,Glendora,CA,917411899,4,"Public, 2-year",6136.0,6863.0,12999.0,0,0,1,0,"1000 W Foothill Blvd. Glendora, CA","[34.1354885, -117.8852366]",34.1354885,-117.8852366
536,City College of San Francisco,Ocean Campus,50 Phelan Ave.,San Francisco,CA,941121898,4,"Public, 2-year",10846.0,12545.0,23391.0,0,1,3,2,"50 Phelan Ave. San Francisco, CA","[37.724695, -122.4529324]",37.724695,-122.4529324
538,City College of San Francisco,Civic Center Campus,750 Eddy St.,San Francisco,CA,94109,4,"Public, 2-year",10846.0,12545.0,23391.0,0,0,0,1,"750 Eddy St. San Francisco, CA","[37.7832808, -122.4199929]",37.7832808,-122.4199929
539,City College of San Francisco,Chinatown/ North Beach Campus,808 Kearny St.,San Francisco,CA,94108,4,"Public, 2-year",10846.0,12545.0,23391.0,0,0,1,0,"808 Kearny St. San Francisco, CA","[37.795611, -122.4046939]",37.795611,-122.4046939
546,Claremont Graduate University,Main Campus,150 E TENTH ST,CLAREMONT,CA,917116160,2,"Private nonprofit, 4-year or above",968.0,1168.0,2136.0,0,0,1,2,"150 E TENTH ST CLAREMONT, CA","[34.1030004, -117.7143271]",34.1030004,-117.7143271
547,Claremont McKenna College,Main Campus,500 E 9TH ST,CLAREMONT,CA,917116400,2,"Private nonprofit, 4-year or above",697.0,652.0,1349.0,11,6,0,0,"500 E 9TH ST CLAREMONT, CA","[34.1020742, -117.7064979]",34.1020742,-117.7064979
558,Columbia College,Main Campus,11600 COLUMBIA COLLEGE DR,SONORA,CA,95370,4,"Public, 2-year",1034.0,1390.0,2424.0,1,0,0,0,"11600 COLUMBIA COLLEGE DR SONORA, CA","[38.0318497, -120.3885394]",38.0318497,-120.3885394
