UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD14,NEG_M14,RAPE14,FONDL14,INCES14,STATR14,ROBBE14,AGG_A14,BURGLA14,VEHIC14,ARSON14,MURD15,NEG_M15,RAPE15,FONDL15,INCES15,STATR15,ROBBE15,AGG_A15,BURGLA15,VEHIC15,ARSON15,MURD16,NEG_M16,RAPE16,FONDL16,INCES16,STATR16,ROBBE16,AGG_A16,BURGLA16,VEHIC16,ARSON16,FILTER14,FILTER15,FILTER16
130314001,University of Saint Joseph,West Hartford Campus,1678 ASYLUM AVE,WEST HARTFORD,CT,061172791,2,"Private nonprofit, 4-year or above",309,2158,2467,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,1,4,1,0,1,1,1
130314002,University of Saint Joseph,School of Pharmacy,229 Trumbull Street,Hartford,CT,06103,2,"Private nonprofit, 4-year or above",309,2158,2467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130396001,Gateway Community College,GATEWAY COMMUNITY COLLEGE DOWNTOWN CAMPUS,20 CHURCH STREET,NEW HAVEN,CT,06510,4,"Public, 2-year",3064,4153,7217,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,1,1
130396002,Gateway Community College,NORTH HAVEN,88  Bassett Rd,North Haven,CT,06473,4,"Public, 2-year",3064,4153,7217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
130448001,St Vincent's College,St. Vincent's College,2800 MAIN ST,BRIDGEPORT,CT,066064201,2,"Private nonprofit, 4-year or above",113,650,763,0,0,0,3,0,0,0,16,3,1,0,0,0,1,2,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130493001,Southern Connecticut State University,Main Campus,501 CRESCENT STREET,NEW HAVEN,CT,065151355,1,"Public, 4-year or above",3680,6640,10320,0,0,9,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,8,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,1
130509001,Stone Academy-Hamden,Main Campus,560 Saw Mill Road,West Haven,CT,06516,9,"Private for-profit, less-than 2-year",24,497,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130581001,Tri-State College of Acupuncture,Main Campus Tri-State College of Acupuncture,"80 Eighth Avenue, Room 400",NEW YORK,NY,10011,3,"Private for-profit, 4-year or above",33,75,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130590001,Trinity College,Main Campus Trinity College,300 SUMMIT ST,HARTFORD,CT,061063100,2,"Private nonprofit, 4-year or above",1199,1151,2350,0,0,12,9,0,0,0,1,11,0,0,0,0,12,5,0,0,1,3,10,3,2,0,0,7,12,0,0,2,1,10,1,1,1,1,1
130606001,Tunxis Community College,Tunxis Community College,271 Scott Swamp Road,FARMINGTON,CT,060323187,4,"Public, 2-year",1672,2095,3767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130606002,Tunxis Community College,Tunxis Community College - Bristol Satellite,430 North Main Street,Bristol,CT,06032,4,"Public, 2-year",1672,2095,3767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130697001,Wesleyan University,Main Campus,45 Wyllys Ave.,MIDDLETOWN,CT,06459,2,"Private nonprofit, 4-year or above",1473,1733,3206,0,0,37,1,0,0,1,0,16,2,0,0,0,17,3,0,0,0,1,14,1,0,0,0,24,2,0,0,0,0,17,1,0,1,1,1
130776001,Western Connecticut State University,Mid Town Campus,181 WHITE ST,DANBURY,CT,068106860,1,"Public, 4-year or above",2651,3070,5721,0,0,1,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,5,0,0,1,1,1
130776002,Western Connecticut State University,West Side Campus,43 Lake Ave. Extension,Danbury,CT,068106860,1,"Public, 4-year or above",2651,3070,5721,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,5,0,0,1,1,1
130794001,Yale University,Main Campus,105 Wall Street,NEW HAVEN,CT,06520,2,"Private nonprofit, 4-year or above",6273,6185,12458,0,0,13,4,0,0,4,0,33,2,1,0,0,17,9,0,0,10,4,69,6,0,0,0,24,8,0,2,3,3,37,4,1,1,1,1
130794002,Yale University,Yale University - West Campus,400 West Campus Drive,Orange,CT,06477,2,"Private nonprofit, 4-year or above",6273,6185,12458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
